File ID,Table ID,Sequence Number,Line Number,Start Position,Total Number of Cells in Table,Total Number of Cells in Sequence,Table Title,Subject Area
ACSSF,B07401,1,0,7,80 CELLS,0,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07401,1,0,0,,0,Universe:  Population 1 year and over in the United States,
ACSSF,B07401,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07401,1,2,0,,0,1 to 4 years,
ACSSF,B07401,1,3,0,,0,5 to 17 years,
ACSSF,B07401,1,4,0,,0,18 and 19 years,
ACSSF,B07401,1,5,0,,0,20 to 24 years,
ACSSF,B07401,1,6,0,,0,25 to 29 years,
ACSSF,B07401,1,7,0,,0,30 to 34 years,
ACSSF,B07401,1,8,0,,0,35 to 39 years,
ACSSF,B07401,1,9,0,,0,40 to 44 years,
ACSSF,B07401,1,10,0,,0,45 to 49 years,
ACSSF,B07401,1,11,0,,0,50 to 54 years,
ACSSF,B07401,1,12,0,,0,55 to 59 years,
ACSSF,B07401,1,13,0,,0,60 to 64 years,
ACSSF,B07401,1,14,0,,0,65 to 69 years,
ACSSF,B07401,1,15,0,,0,70 to 74 years,
ACSSF,B07401,1,16,0,,0,75 years and over,
ACSSF,B07401,1,17,0,,0,Same house:,
ACSSF,B07401,1,18,0,,0,1 to 4 years,
ACSSF,B07401,1,19,0,,0,5 to 17 years,
ACSSF,B07401,1,20,0,,0,18 and 19 years,
ACSSF,B07401,1,21,0,,0,20 to 24 years,
ACSSF,B07401,1,22,0,,0,25 to 29 years,
ACSSF,B07401,1,23,0,,0,30 to 34 years,
ACSSF,B07401,1,24,0,,0,35 to 39 years,
ACSSF,B07401,1,25,0,,0,40 to 44 years,
ACSSF,B07401,1,26,0,,0,45 to 49 years,
ACSSF,B07401,1,27,0,,0,50 to 54 years,
ACSSF,B07401,1,28,0,,0,55 to 59 years,
ACSSF,B07401,1,29,0,,0,60 to 64 years,
ACSSF,B07401,1,30,0,,0,65 to 69 years,
ACSSF,B07401,1,31,0,,0,70 to 74 years,
ACSSF,B07401,1,32,0,,0,75 years and over,
ACSSF,B07401,1,33,0,,0,Moved within same county:,
ACSSF,B07401,1,34,0,,0,1 to 4 years,
ACSSF,B07401,1,35,0,,0,5 to 17 years,
ACSSF,B07401,1,36,0,,0,18 and 19 years,
ACSSF,B07401,1,37,0,,0,20 to 24 years,
ACSSF,B07401,1,38,0,,0,25 to 29 years,
ACSSF,B07401,1,39,0,,0,30 to 34 years,
ACSSF,B07401,1,40,0,,0,35 to 39 years,
ACSSF,B07401,1,41,0,,0,40 to 44 years,
ACSSF,B07401,1,42,0,,0,45 to 49 years,
ACSSF,B07401,1,43,0,,0,50 to 54 years,
ACSSF,B07401,1,44,0,,0,55 to 59 years,
ACSSF,B07401,1,45,0,,0,60 to 64 years,
ACSSF,B07401,1,46,0,,0,65 to 69 years,
ACSSF,B07401,1,47,0,,0,70 to 74 years,
ACSSF,B07401,1,48,0,,0,75 years and over,
ACSSF,B07401,1,49,0,,0,Moved to different county within same state:,
ACSSF,B07401,1,50,0,,0,1 to 4 years,
ACSSF,B07401,1,51,0,,0,5 to 17 years,
ACSSF,B07401,1,52,0,,0,18 and 19 years,
ACSSF,B07401,1,53,0,,0,20 to 24 years,
ACSSF,B07401,1,54,0,,0,25 to 29 years,
ACSSF,B07401,1,55,0,,0,30 to 34 years,
ACSSF,B07401,1,56,0,,0,35 to 39 years,
ACSSF,B07401,1,57,0,,0,40 to 44 years,
ACSSF,B07401,1,58,0,,0,45 to 49 years,
ACSSF,B07401,1,59,0,,0,50 to 54 years,
ACSSF,B07401,1,60,0,,0,55 to 59 years,
ACSSF,B07401,1,61,0,,0,60 to 64 years,
ACSSF,B07401,1,62,0,,0,65 to 69 years,
ACSSF,B07401,1,63,0,,0,70 to 74 years,
ACSSF,B07401,1,64,0,,0,75 years and over,
ACSSF,B07401,1,65,0,,0,Moved to different state:,
ACSSF,B07401,1,66,0,,0,1 to 4 years,
ACSSF,B07401,1,67,0,,0,5 to 17 years,
ACSSF,B07401,1,68,0,,0,18 and 19 years,
ACSSF,B07401,1,69,0,,0,20 to 24 years,
ACSSF,B07401,1,70,0,,0,25 to 29 years,
ACSSF,B07401,1,71,0,,0,30 to 34 years,
ACSSF,B07401,1,72,0,,0,35 to 39 years,
ACSSF,B07401,1,73,0,,0,40 to 44 years,
ACSSF,B07401,1,74,0,,0,45 to 49 years,
ACSSF,B07401,1,75,0,,0,50 to 54 years,
ACSSF,B07401,1,76,0,,0,55 to 59 years,
ACSSF,B07401,1,77,0,,0,60 to 64 years,
ACSSF,B07401,1,78,0,,0,65 to 69 years,
ACSSF,B07401,1,79,0,,0,70 to 74 years,
ACSSF,B07401,1,80,0,,0,75 years and over,
ACSSF,B07402,1,0,87,5 CELLS,0,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07402,1,0,0,,0,Universe:  Population 1 year and over in the United States,
ACSSF,B07402,1,0.7,0,,0,Median age --,
ACSSF,B07402,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07402,1,2,0,,0,Same house,
ACSSF,B07402,1,3,0,,0,Moved within same county,
ACSSF,B07402,1,4,0,,0,Moved to different county within same state,
ACSSF,B07402,1,5,0,,0,Moved to different state,
ACSSF,B07403,1,0,92,15 CELLS,0,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07403,1,0,0,,0,Universe:  Population 1 year and over in the United States,
ACSSF,B07403,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07403,1,2,0,,0,Male,
ACSSF,B07403,1,3,0,,0,Female,
ACSSF,B07403,1,4,0,,0,Same house:,
ACSSF,B07403,1,5,0,,0,Male,
ACSSF,B07403,1,6,0,,0,Female,
ACSSF,B07403,1,7,0,,0,Moved within same county:,
ACSSF,B07403,1,8,0,,0,Male,
ACSSF,B07403,1,9,0,,0,Female,
ACSSF,B07403,1,10,0,,0,Moved to different county within same state:,
ACSSF,B07403,1,11,0,,0,Male,
ACSSF,B07403,1,12,0,,0,Female,
ACSSF,B07403,1,13,0,,0,Moved to different state:,
ACSSF,B07403,1,14,0,,0,Male,
ACSSF,B07403,1,15,0,,0,Female,
ACSSF,B07404A,1,0,107,5 CELLS,0,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (WHITE ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07404A,1,0,0,,0,Universe:  White alone population 1 year and over in the United States,
ACSSF,B07404A,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07404A,1,2,0,,0,Same house,
ACSSF,B07404A,1,3,0,,0,Moved within same county,
ACSSF,B07404A,1,4,0,,0,Moved to different county within same state,
ACSSF,B07404A,1,5,0,,0,Moved to different state,
ACSSF,B07404B,1,0,112,5 CELLS,0,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (BLACK OR AFRICAN AMERICAN ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07404B,1,0,0,,0,Universe:  Black or African American alone population 1 year and over in the United States,
ACSSF,B07404B,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07404B,1,2,0,,0,Same house,
ACSSF,B07404B,1,3,0,,0,Moved within same county,
ACSSF,B07404B,1,4,0,,0,Moved to different county within same state,
ACSSF,B07404B,1,5,0,,0,Moved to different state,
ACSSF,B07404C,1,0,117,5 CELLS,0,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07404C,1,0,0,,0,Universe:  American Indian and Alaska Native alone population 1 year and over in the United States,
ACSSF,B07404C,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07404C,1,2,0,,0,Same house,
ACSSF,B07404C,1,3,0,,0,Moved within same county,
ACSSF,B07404C,1,4,0,,0,Moved to different county within same state,
ACSSF,B07404C,1,5,0,,0,Moved to different state,
ACSSF,B07404D,1,0,122,5 CELLS,0,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (ASIAN ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07404D,1,0,0,,0,Universe:  Asian alone population 1 year and over in the United States,
ACSSF,B07404D,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07404D,1,2,0,,0,Same house,
ACSSF,B07404D,1,3,0,,0,Moved within same county,
ACSSF,B07404D,1,4,0,,0,Moved to different county within same state,
ACSSF,B07404D,1,5,0,,0,Moved to different state,
ACSSF,B07404E,1,0,127,5 CELLS,0,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07404E,1,0,0,,0,Universe:  Native Hawaiian and Other Pacific Islander alone population 1 year and over in the United States,
ACSSF,B07404E,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07404E,1,2,0,,0,Same house,
ACSSF,B07404E,1,3,0,,0,Moved within same county,
ACSSF,B07404E,1,4,0,,0,Moved to different county within same state,
ACSSF,B07404E,1,5,0,,0,Moved to different state,
ACSSF,B07404F,1,0,132,5 CELLS,0,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (SOME OTHER RACE ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07404F,1,0,0,,0,Universe:  Some other race alone population 1 year and over in the United States,
ACSSF,B07404F,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07404F,1,2,0,,0,Same house,
ACSSF,B07404F,1,3,0,,0,Moved within same county,
ACSSF,B07404F,1,4,0,,0,Moved to different county within same state,
ACSSF,B07404F,1,5,0,,0,Moved to different state,
ACSSF,B07404G,1,0,137,5 CELLS,0,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (TWO OR MORE RACES) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07404G,1,0,0,,0,Universe:  Two or more races population 1 year and over in the United States,
ACSSF,B07404G,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07404G,1,2,0,,0,Same house,
ACSSF,B07404G,1,3,0,,0,Moved within same county,
ACSSF,B07404G,1,4,0,,0,Moved to different county within same state,
ACSSF,B07404G,1,5,0,,0,Moved to different state,
ACSSF,B07404H,1,0,142,5 CELLS,0,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (WHITE ALONE, NOT HISPANIC OR LATINO) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES",Residence Last Year - Migration
ACSSF,B07404H,1,0,0,,0,"Universe:  White alone, not Hispanic or Latino population 1 year and over in the United States",
ACSSF,B07404H,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07404H,1,2,0,,0,Same house,
ACSSF,B07404H,1,3,0,,0,Moved within same county,
ACSSF,B07404H,1,4,0,,0,Moved to different county within same state,
ACSSF,B07404H,1,5,0,,0,Moved to different state,
ACSSF,B07404I,1,0,147,5 CELLS,0,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (HISPANIC OR LATINO) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07404I,1,0,0,,0,Universe:  Hispanic or Latino population 1 year and over in the United States,
ACSSF,B07404I,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07404I,1,2,0,,0,Same house,
ACSSF,B07404I,1,3,0,,0,Moved within same county,
ACSSF,B07404I,1,4,0,,0,Moved to different county within same state,
ACSSF,B07404I,1,5,0,,0,Moved to different state,
ACSSF,B07407,1,0,152,25 CELLS,0,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,B07407,1,0,0,,0,Universe:  Population 1 year and over in the United States,
ACSSF,B07407,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,B07407,1,2,0,,0,Native,
ACSSF,B07407,1,3,0,,0,Foreign born:,
ACSSF,B07407,1,4,0,,0,Naturalized U.S. citizen,
ACSSF,B07407,1,5,0,,0,Not a U.S. citizen,
ACSSF,B07407,1,6,0,,0,Same house:,
ACSSF,B07407,1,7,0,,0,Native,
ACSSF,B07407,1,8,0,,0,Foreign born:,
ACSSF,B07407,1,9,0,,0,Naturalized U.S. citizen,
ACSSF,B07407,1,10,0,,0,Not a U.S. citizen,
ACSSF,B07407,1,11,0,,0,Moved within same county:,
ACSSF,B07407,1,12,0,,0,Native,
ACSSF,B07407,1,13,0,,0,Foreign born:,
ACSSF,B07407,1,14,0,,0,Naturalized U.S. citizen,
ACSSF,B07407,1,15,0,,0,Not a U.S. citizen,
ACSSF,B07407,1,16,0,,0,Moved to different county within same state:,
ACSSF,B07407,1,17,0,,0,Native,
ACSSF,B07407,1,18,0,,0,Foreign born:,
ACSSF,B07407,1,19,0,,0,Naturalized U.S. citizen,
ACSSF,B07407,1,20,0,,0,Not a U.S. citizen,
ACSSF,B07407,1,21,0,,0,Moved to different state:,
ACSSF,B07407,1,22,0,,0,Native,
ACSSF,B07407,1,23,0,,0,Foreign born:,
ACSSF,B07407,1,24,0,,0,Naturalized U.S. citizen,
ACSSF,B07407,1,25,0,,0,Not a U.S. citizen,
ACSSF,C07401,1,0,177,50 CELLS,220,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Residence Last Year - Migration
ACSSF,C07401,1,0,0,,0,Universe: Population 1 year and over in the United States,
ACSSF,C07401,1,1,0,,0,Total living in area 1 year ago:,
ACSSF,C07401,1,2,0,,0,1 to 4 years,
ACSSF,C07401,1,3,0,,0,5 to 17 years,
ACSSF,C07401,1,4,0,,0,18 to 24 years,
ACSSF,C07401,1,5,0,,0,25 to 34 years,
ACSSF,C07401,1,6,0,,0,35 to 44 years,
ACSSF,C07401,1,7,0,,0,45 to 54 years,
ACSSF,C07401,1,8,0,,0,55 to 64 years,
ACSSF,C07401,1,9,0,,0,65 to 74 years,
ACSSF,C07401,1,10,0,,0,75 years and over,
ACSSF,C07401,1,11,0,,0,Same house:,
ACSSF,C07401,1,12,0,,0,1 to 4 years,
ACSSF,C07401,1,13,0,,0,5 to 17 years,
ACSSF,C07401,1,14,0,,0,18 to 24 years,
ACSSF,C07401,1,15,0,,0,25 to 34 years,
ACSSF,C07401,1,16,0,,0,35 to 44 years,
ACSSF,C07401,1,17,0,,0,45 to 54 years,
ACSSF,C07401,1,18,0,,0,55 to 64 years,
ACSSF,C07401,1,19,0,,0,65 to 74 years,
ACSSF,C07401,1,20,0,,0,75 years and over,
ACSSF,C07401,1,21,0,,0,Moved within same county:,
ACSSF,C07401,1,22,0,,0,1 to 4 years,
ACSSF,C07401,1,23,0,,0,5 to 17 years,
ACSSF,C07401,1,24,0,,0,18 to 24 years,
